trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.5, 'e': 0.9859211602132415}",25,0,-118.6793602384695,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.9857534564380882}",35,3,-155.45704531357822,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 2}",1
170,False,"{'a': 0.5, 'e': 0.9855847669095608}",20,0,-101.86013888900622,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.9854150917963483}",20,3,-231.341926198333,"{0: 5, 1: 2, 2: 5, 3: 1, 4: 4}",1
172,False,"{'a': 0.5, 'e': 0.9852444312681263}",25,0,-43.935738128051604,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.9850727854955552}",30,0,-212.8764724637384,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
174,False,"{'a': 0.5, 'e': 0.9849001546502806}",20,0,-152.8270772291454,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.9847265389049334}",20,0,-158.79781419814,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
176,False,"{'a': 0.5, 'e': 0.9845519384331295}",20,2,-110.05483086351346,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.984376353409469}",20,3,-94.5412089059816,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.9841997840095373}",30,0,-113.16957074711776,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.9840222304099036}",30,0,-207.1793111395715,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,0,-148.53761886363588,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
181,False,"{'a': 0.5, 'e': 0.9836641713227284}",30,0,-92.43261404122006,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.9834836661932461}",25,10,-67.40902462840187,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
